# campaign: devchar-cp (full output I-V curves)
# record_id: 20260731-041340-833292f
# generated_utc: 2026-07-31T04:13:42Z
# pdk_variant: gf180mcuD
# pdk_open_pdks_hash: c6d73a35f524070e85faff4a6a9eef49553ebc2b
# pdk_root: /Users/rwalters/.volare/gf180mcuD
# model_file: libs.tech/ngspice/sm141064.ngspice (+ sm141064_mim.ngspice via mimcap_* sections)
# switches: design.ngspice defaults (sw_stat_global=0, sw_stat_mismatch=0 -> nominal skew, no Monte Carlo)
# simulator: ngspice-46
# netlist: sim/devchar-cp/testbench/tb_cp_mirror.sp
# corners: process{typical,ff,ss,fs,sf} x temp{-40,27,125}C x vdd{2.97,3.30,3.63}V = 45 points, 6 stacks each
# Complete output characteristic of every stack at every corner, decimated from
# the 10 mV simulation grid to 50 mV. ro is a central difference on the raw
# 10 mV grid, so the knee is resolved at full simulation resolution.
stack,process,temp_c,vdd_v,vout_v,iout_a,ro_ohm
n_casc,ff,27,2.97,2.5000,2.00009e-05,4.7619e+08
n_casc,ff,27,2.97,2.5500,2.00011e-05,3.83142e+08
n_casc,ff,27,2.97,2.6000,2.00012e-05,2.9985e+08
n_casc,ff,27,2.97,2.6500,2.00014e-05,2.3015e+08
n_casc,ff,27,2.97,2.7000,2.00016e-05,1.75131e+08
n_casc,ff,27,2.97,2.7500,2.0002e-05,1.32979e+08
n_casc,ff,27,2.97,2.8000,2.00024e-05,1.01317e+08
n_casc,ff,27,2.97,2.8500,2.0003e-05,7.77001e+07
n_casc,ff,27,2.97,2.9000,2.00037e-05,6.00601e+07
n_casc,ff,27,2.97,2.9500,2.00046e-05,4.68494e+07
n_casc,ff,27,3.30,0.0000,4.03261e-36,7196.27
n_casc,ff,27,3.30,0.0500,6.54927e-06,8502.55
n_casc,ff,27,3.30,0.1000,1.17479e-05,11090.5
n_casc,ff,27,3.30,0.1500,1.55512e-05,16174.4
n_casc,ff,27,3.30,0.2000,1.79311e-05,29642.8
n_casc,ff,27,3.30,0.2500,1.90323e-05,79594.5
n_casc,ff,27,3.30,0.3000,1.94091e-05,228580
n_casc,ff,27,3.30,0.3500,1.9561e-05,459085
n_casc,ff,27,3.30,0.4000,1.96484e-05,696321
n_casc,ff,27,3.30,0.4500,1.97107e-05,910444
n_casc,ff,27,3.30,0.5000,1.97605e-05,1.10071e+06
n_casc,ff,27,3.30,0.5500,1.98026e-05,1.27453e+06
n_casc,ff,27,3.30,0.6000,1.98394e-05,1.44181e+06
n_casc,ff,27,3.30,0.6500,1.98722e-05,1.61525e+06
n_casc,ff,27,3.30,0.7000,1.99015e-05,1.81345e+06
n_casc,ff,27,3.30,0.7500,1.99274e-05,2.06795e+06
n_casc,ff,27,3.30,0.8000,1.99497e-05,2.43929e+06
n_casc,ff,27,3.30,0.8500,1.99682e-05,3.05927e+06
n_casc,ff,27,3.30,0.9000,1.99823e-05,4.27433e+06
n_casc,ff,27,3.30,0.9500,1.99915e-05,7.30941e+06
n_casc,ff,27,3.30,1.0000,1.99962e-05,1.81028e+07
n_casc,ff,27,3.30,1.0500,1.99978e-05,5.6899e+07
n_casc,ff,27,3.30,1.1000,1.99984e-05,1.3132e+08
n_casc,ff,27,3.30,1.1500,1.99987e-05,2.15054e+08
n_casc,ff,27,3.30,1.2000,1.99989e-05,2.92398e+08
n_casc,ff,27,3.30,1.2500,1.9999e-05,3.59066e+08
n_casc,ff,27,3.30,1.3000,1.99991e-05,4.16667e+08
n_casc,ff,27,3.30,1.3500,1.99992e-05,4.6729e+08
n_casc,ff,27,3.30,1.4000,1.99994e-05,5.11509e+08
n_casc,ff,27,3.30,1.4500,1.99994e-05,5.49451e+08
n_casc,ff,27,3.30,1.5000,1.99995e-05,5.8309e+08
n_casc,ff,27,3.30,1.5500,1.99996e-05,6.13497e+08
n_casc,ff,27,3.30,1.6000,1.99997e-05,6.41026e+08
n_casc,ff,27,3.30,1.6500,1.99998e-05,6.66667e+08
n_casc,ff,27,3.30,1.7000,1.99998e-05,6.89655e+08
n_casc,ff,27,3.30,1.7500,1.99999e-05,7.0922e+08
n_casc,ff,27,3.30,1.8000,2e-05,7.27273e+08
n_casc,ff,27,3.30,1.8500,2.00001e-05,7.46269e+08
n_casc,ff,27,3.30,1.9000,2.00001e-05,7.60456e+08
n_casc,ff,27,3.30,1.9500,2.00002e-05,7.75194e+08
n_casc,ff,27,3.30,2.0000,2.00003e-05,7.90514e+08
n_casc,ff,27,3.30,2.0500,2.00003e-05,8e+08
n_casc,ff,27,3.30,2.1000,2.00004e-05,8.13008e+08
n_casc,ff,27,3.30,2.1500,2.00004e-05,8.16327e+08
n_casc,ff,27,3.30,2.2000,2.00005e-05,8.13008e+08
n_casc,ff,27,3.30,2.2500,2.00006e-05,8.03213e+08
n_casc,ff,27,3.30,2.3000,2.00006e-05,7.75194e+08
n_casc,ff,27,3.30,2.3500,2.00007e-05,7.27273e+08
n_casc,ff,27,3.30,2.4000,2.00008e-05,6.60066e+08
n_casc,ff,27,3.30,2.4500,2.00008e-05,5.73066e+08
n_casc,ff,27,3.30,2.5000,2.00009e-05,4.7619e+08
n_casc,ff,27,3.30,2.5500,2.00011e-05,3.83142e+08
n_casc,ff,27,3.30,2.6000,2.00012e-05,2.9985e+08
n_casc,ff,27,3.30,2.6500,2.00014e-05,2.3015e+08
n_casc,ff,27,3.30,2.7000,2.00016e-05,1.75131e+08
n_casc,ff,27,3.30,2.7500,2.0002e-05,1.32979e+08
n_casc,ff,27,3.30,2.8000,2.00024e-05,1.01317e+08
n_casc,ff,27,3.30,2.8500,2.0003e-05,7.77001e+07
n_casc,ff,27,3.30,2.9000,2.00037e-05,6.00601e+07
n_casc,ff,27,3.30,2.9500,2.00046e-05,4.68494e+07
n_casc,ff,27,3.30,3.0000,2.00059e-05,3.69072e+07
n_casc,ff,27,3.30,3.0500,2.00074e-05,2.93686e+07
n_casc,ff,27,3.30,3.1000,2.00093e-05,2.35988e+07
n_casc,ff,27,3.30,3.1500,2.00116e-05,1.91443e+07
n_casc,ff,27,3.30,3.2000,2.00145e-05,1.56715e+07
n_casc,ff,27,3.30,3.2500,2.00181e-05,1.29408e+07
n_casc,ff,27,3.30,3.3000,2.00223e-05,1.11701e+07
n_casc,ff,27,3.63,0.0000,4.03261e-36,7196.27
n_casc,ff,27,3.63,0.0500,6.54927e-06,8502.55
n_casc,ff,27,3.63,0.1000,1.17479e-05,11090.5
n_casc,ff,27,3.63,0.1500,1.55512e-05,16174.4
n_casc,ff,27,3.63,0.2000,1.79311e-05,29642.8
n_casc,ff,27,3.63,0.2500,1.90323e-05,79594.5
